0 16 ['1', '3', '5', '7', '8', '10', '11', '12', '39', '40', '41', '44', '46', '51', '53', '156']
1 15 ['359', '360', '361', '363', '373', '375', '376', '379', '380', '381', '382', '393', '394', '395', '405']
2 14 ['2', '4', '6', '9', '13', '14', '15', '42', '43', '45', '48', '49', '50', '90']
3 8 ['199', '200', '201', '202', '203', '204', '205', '206']
4 8 ['174', '176', '177', '178', '179', '180', '181', '182']
5 6 ['18', '19', '21', '25', '28', '36']
6 6 ['387', '388', '389', '390', '391', '392']
7 5 ['209', '213', '214', '215', '216']
8 5 ['161', '162', '163', '164', '165']
9 4 ['20', '22', '26', '27']
10 4 ['124', '126', '127', '128']
11 4 ['256', '260', '263', '266']
12 4 ['228', '230', '231', '232']
13 3 ['168', '169', '170']
14 3 ['92', '93', '94']
15 3 ['151', '152', '153']
16 3 ['143', '144', '146']
17 3 ['114', '116', '117']
18 3 ['103', '113', '141']
19 3 ['311', '324', '330']
20 3 ['224', '226', '227']
21 2 ['47', '54']
22 2 ['80', '84']
23 2 ['301', '340']
24 2 ['339', '342']
25 2 ['122', '123']
26 2 ['97', '98']
27 2 ['32', '33']
28 2 ['56', '64']
29 2 ['85', '87']
30 2 ['157', '158']
31 2 ['253', '267']
32 2 ['137', '138']
33 2 ['166', '167']
34 2 ['171', '175']
35 2 ['258', '259']
36 2 ['251', '252']
37 2 ['262', '268']
38 2 ['221', '223']
39 2 ['173', '183']
40 2 ['323', '326']
41 2 ['271', '274']
