0 16 ['265', '266', '267', '268', '269', '270', '295', '296', '297', '299', '312', '314', '323', '326', '327', '342']
1 13 ['36', '37', '38', '39', '51', '52', '53', '67', '68', '86', '92', '113', '114']
2 9 ['47', '48', '49', '63', '64', '65', '71', '101', '348']
3 9 ['413', '416', '425', '426', '432', '433', '434', '435', '436']
4 8 ['41', '44', '73', '74', '75', '105', '106', '107']
5 8 ['175', '177', '179', '181', '192', '193', '195', '196']
6 7 ['54', '55', '81', '82', '88', '89', '91']
7 7 ['279', '281', '306', '307', '308', '309', '310']
8 7 ['217', '218', '219', '227', '228', '257', '259']
9 7 ['375', '379', '393', '395', '397', '399', '400']
10 6 ['1', '4', '8', '18', '25', '26']
11 6 ['95', '96', '97', '98', '111', '349']
12 6 ['203', '204', '205', '206', '207', '208']
13 6 ['376', '382', '384', '388', '390', '401']
14 6 ['377', '383', '385', '389', '391', '402']
15 5 ['439', '440', '441', '442', '443']
16 5 ['220', '221', '230', '231', '232']
17 5 ['225', '226', '245', '246', '247']
18 5 ['176', '185', '197', '198', '199']
19 5 ['222', '223', '224', '242', '243']
20 5 ['378', '380', '394', '396', '398']
21 4 ['187', '188', '189', '191']
22 4 ['209', '210', '211', '212']
23 4 ['56', '57', '83', '90']
24 4 ['43', '76', '77', '110']
25 4 ['273', '275', '301', '360']
26 4 ['333', '334', '335', '336']
27 4 ['129', '136', '144', '146']
28 4 ['411', '412', '414', '415']
29 3 ['288', '291', '294']
30 3 ['178', '180', '202']
31 3 ['137', '143', '149']
32 3 ['40', '79', '80']
33 3 ['66', '102', '103']
34 3 ['69', '93', '94']
35 3 ['321', '324', '328']
36 3 ['42', '45', '78']
37 2 ['19', '20']
38 2 ['124', '126']
39 2 ['125', '128']
40 2 ['276', '282']
41 2 ['170', '171']
42 2 ['2', '3']
43 2 ['5', '6']
44 2 ['22', '33']
45 2 ['339', '341']
46 2 ['284', '293']
47 2 ['285', '292']
48 2 ['320', '329']
49 2 ['112', '410']
50 2 ['61', '62']
51 2 ['229', '240']
52 2 ['122', '123']
53 2 ['165', '167']
54 2 ['100', '104']
55 2 ['50', '99']
56 2 ['215', '216']
57 2 ['237', '238']
58 2 ['277', '302']
59 2 ['274', '303']
60 2 ['313', '331']
61 2 ['30', '31']
62 2 ['252', '253']
63 2 ['423', '424']
64 2 ['59', '84']
65 2 ['244', '255']
66 2 ['287', '305']
67 2 ['354', '355']
68 2 ['169', '173']
69 2 ['463', '465']
70 2 ['464', '466']
71 2 ['364', '365']
72 2 ['317', '330']
73 2 ['85', '162']
74 2 ['381', '386']
