0 13 ['268', '269', '270', '271', '281', '282', '283', '284', '288', '289', '290', '291', '292']
1 11 ['353', '354', '355', '358', '366', '375', '377', '379', '381', '384', '386']
2 9 ['357', '365', '367', '374', '376', '378', '380', '383', '385']
3 8 ['25', '69', '73', '74', '75', '76', '77', '78']
4 8 ['430', '433', '463', '515', '519', '520', '521', '522']
5 8 ['143', '144', '146', '147', '148', '149', '152', '153']
6 6 ['431', '434', '452', '525', '526', '527']
7 5 ['164', '171', '172', '190', '192']
8 5 ['316', '318', '319', '320', '322']
9 4 ['225', '235', '255', '256']
10 4 ['570', '591', '634', '635']
11 4 ['669', '670', '671', '672']
12 4 ['136', '139', '140', '141']
13 3 ['573', '592', '636']
14 3 ['427', '450', '469']
15 3 ['454', '461', '462']
16 3 ['123', '124', '125']
17 3 ['571', '572', '607']
18 3 ['640', '641', '642']
19 3 ['421', '424', '425']
20 3 ['594', '611', '638']
21 3 ['551', '555', '556']
22 3 ['448', '453', '485']
23 3 ['676', '685', '686']
24 2 ['273', '275']
25 2 ['1', '2']
26 2 ['330', '334']
27 2 ['18', '47']
28 2 ['395', '397']
29 2 ['196', '197']
30 2 ['230', '244']
31 2 ['274', '276']
32 2 ['593', '637']
33 2 ['3', '11']
34 2 ['13', '36']
35 2 ['333', '336']
36 2 ['332', '335']
37 2 ['17', '46']
38 2 ['733', '736']
39 2 ['438', '477']
40 2 ['440', '482']
41 2 ['564', '565']
42 2 ['442', '479']
43 2 ['618', '632']
44 2 ['115', '122']
45 2 ['437', '468']
46 2 ['20', '21']
47 2 ['444', '483']
48 2 ['436', '466']
49 2 ['100', '108']
50 2 ['443', '478']
51 2 ['439', '480']
52 2 ['441', '467']
53 2 ['470', '476']
54 2 ['732', '735']
55 2 ['226', '236']
56 2 ['200', '208']
57 2 ['328', '340']
58 2 ['81', '82']
59 2 ['348', '387']
60 2 ['238', '264']
61 2 ['608', '609']
62 2 ['428', '451']
63 2 ['165', '193']
64 2 ['349', '388']
65 2 ['173', '191']
66 2 ['432', '435']
67 2 ['710', '712']
68 2 ['347', '356']
69 2 ['579', '581']
70 2 ['286', '287']
71 2 ['227', '240']
72 2 ['224', '234']
73 2 ['599', '602']
74 2 ['272', '278']
75 2 ['734', '737']
76 2 ['317', '321']
77 2 ['351', '382']
78 2 ['661', '662']
79 2 ['211', '214']
80 2 ['595', '639']
81 2 ['701', '704']
82 2 ['622', '623']
83 2 ['416', '418']
84 2 ['279', '280']
85 2 ['350', '370']
86 2 ['394', '396']
87 2 ['266', '267']
