0 48 ['7', '10', '30', '55', '56', '77', '97', '130', '145', '157', '191', '193', '199', '216', '218', '244', '248', '250', '267', '298', '313', '326', '335', '336', '372', '378', '383', '396', '403', '406', '407', '422', '424', '454', '456', '464', '466', '490', '496', '501', '517', '589', '597', '917', '937', '941', '942', '993']
1 31 ['38', '59', '90', '92', '96', '159', '166', '211', '242', '265', '341', '379', '408', '431', '510', '533', '535', '550', '599', '607', '610', '628', '646', '799', '823', '846', '859', '865', '883', '908', '952']
2 24 ['11', '71', '126', '142', '174', '302', '338', '357', '385', '449', '468', '531', '635', '671', '711', '722', '724', '752', '760', '806', '827', '902', '915', '981']
3 17 ['138', '155', '160', '181', '213', '332', '518', '527', '564', '710', '808', '815', '842', '869', '948', '975', '997']
4 16 ['526', '542', '560', '586', '618', '631', '705', '748', '781', '825', '836', '837', '854', '897', '904', '998']
5 15 ['9', '25', '49', '80', '122', '167', '232', '241', '293', '319', '392', '427', '441', '442', '472']
6 15 ['78', '125', '180', '271', '289', '291', '329', '377', '451', '554', '582', '605', '728', '787', '914']
7 14 ['124', '320', '494', '573', '658', '742', '751', '856', '882', '890', '926', '951', '974', '982']
8 13 ['503', '507', '521', '590', '604', '657', '712', '734', '772', '851', '943', '964', '995']
9 13 ['513', '553', '622', '639', '653', '664', '674', '798', '804', '811', '853', '900', '957']
10 12 ['12', '16', '58', '65', '84', '85', '117', '188', '272', '425', '474', '500']
11 12 ['45', '57', '177', '340', '418', '421', '432', '547', '688', '925', '936', '972']
12 11 ['18', '206', '219', '262', '314', '397', '470', '534', '757', '803', '814']
13 10 ['48', '114', '239', '389', '415', '569', '572', '662', '807', '976']
14 9 ['156', '254', '311', '339', '581', '777', '860', '861', '891']
15 9 ['537', '636', '681', '706', '743', '847', '916', '938', '962']
16 8 ['8', '29', '255', '307', '312', '321', '330', '367']
17 8 ['52', '60', '111', '187', '240', '259', '318', '345']
18 8 ['53', '69', '575', '708', '731', '747', '875', '965']
19 8 ['74', '198', '504', '593', '675', '770', '796', '923']
20 8 ['522', '568', '624', '627', '689', '819', '820', '986']
21 7 ['43', '86', '91', '120', '299', '352', '485']
22 7 ['162', '303', '395', '567', '602', '687', '895']
23 6 ['47', '118', '617', '694', '795', '816']
24 6 ['61', '110', '245', '361', '435', '659']
25 6 ['136', '306', '364', '732', '841', '969']
26 6 ['197', '296', '601', '655', '828', '967']
27 6 ['502', '511', '558', '701', '789', '994']
28 6 ['551', '756', '800', '838', '876', '907']
29 5 ['164', '546', '549', '935', '954']
30 5 ['112', '284', '347', '578', '580']
31 5 ['89', '186', '349', '376', '467']
32 5 ['202', '495', '634', '698', '840']
33 4 ['35', '281', '716', '845']
34 4 ['40', '67', '767', '956']
35 4 ['260', '308', '414', '684']
36 4 ['264', '390', '661', '928']
37 4 ['512', '548', '702', '714']
38 4 ['509', '696', '763', '978']
39 4 ['231', '612', '867', '909']
40 3 ['5', '333', '417']
41 3 ['68', '779', '961']
42 3 ['62', '185', '790']
43 3 ['87', '695', '877']
44 3 ['100', '168', '381']
45 3 ['44', '905', '940']
46 3 ['505', '545', '929']
47 3 ['146', '270', '398']
48 3 ['528', '529', '692']
49 3 ['552', '619', '888']
50 3 ['323', '409', '946']
51 3 ['493', '826', '966']
52 3 ['649', '652', '764']
53 3 ['761', '809', '835']
54 3 ['608', '609', '633']
55 3 ['629', '678', '996']
56 3 ['258', '539', '797']
57 3 ['782', '887', '990']
58 3 ['640', '786', '884']
59 3 ['718', '744', '991']
60 2 ['2', '28']
61 2 ['476', '949']
62 2 ['33', '235']
63 2 ['64', '263']
64 2 ['36', '596']
65 2 ['400', '667']
66 2 ['411', '611']
67 2 ['79', '268']
68 2 ['233', '955']
69 2 ['862', '931']
70 2 ['201', '387']
71 2 ['113', '356']
72 2 ['39', '322']
73 2 ['115', '279']
74 2 ['75', '365']
75 2 ['63', '348']
76 2 ['105', '283']
77 2 ['76', '83']
78 2 ['54', '137']
79 2 ['127', '740']
80 2 ['478', '801']
81 2 ['723', '794']
82 2 ['275', '576']
83 2 ['868', '879']
84 2 ['170', '423']
85 2 ['538', '881']
86 2 ['733', '829']
87 2 ['654', '738']
88 2 ['585', '727']
89 2 ['736', '989']
90 2 ['644', '817']
91 2 ['173', '577']
92 2 ['594', '638']
93 2 ['328', '587']
94 2 ['178', '491']
95 2 ['238', '257']
96 2 ['650', '958']
97 2 ['179', '430']
98 2 ['445', '556']
99 2 ['651', '992']
100 2 ['354', '363']
101 2 ['536', '768']
102 2 ['486', '774']
103 2 ['769', '802']
104 2 ['374', '388']
105 2 ['183', '405']
106 2 ['641', '903']
107 2 ['140', '469']
108 2 ['778', '959']
109 2 ['685', '830']
110 2 ['207', '360']
111 2 ['632', '693']
112 2 ['394', '413']
113 2 ['793', '857']
114 2 ['810', '963']
115 2 ['834', '922']
