0 7 ['10', '22', '25', '28', '35', '41', '61']
1 6 ['9', '115', '156', '172', '176', '186']
2 4 ['2', '3', '40', '98']
3 4 ['5', '139', '144', '181']
4 3 ['48', '56', '79']
5 3 ['42', '138', '147']
6 3 ['92', '103', '125']
7 3 ['84', '111', '168']
8 3 ['47', '134', '163']
9 3 ['26', '113', '169']
10 2 ['19', '34']
11 2 ['11', '105']
12 2 ['1', '44']
13 2 ['62', '135']
14 2 ['130', '132']
15 2 ['8', '158']
16 2 ['20', '97']
17 2 ['78', '114']
18 2 ['12', '159']
19 2 ['27', '46']
20 2 ['93', '101']
21 2 ['51', '161']
22 2 ['72', '83']
23 2 ['90', '104']
24 2 ['112', '148']
25 2 ['45', '88']
26 2 ['68', '118']
27 2 ['128', '153']
28 2 ['129', '155']
29 2 ['87', '188']
