0 36 ['18', '190', '470', '540', '547', '737', '794', '899', '1122', '1204', '1240', '1362', '1363', '1431', '1605', '1728', '1751', '1807', '1837', '1913', '1919', '2036', '2067', '2079', '2212', '2289', '2446', '3122', '3135', '3625', '4010', '4129', '4188', '4236', '4264', '4330']
1 24 ['137', '246', '412', '446', '495', '700', '760', '945', '1087', '1187', '1573', '1636', '1857', '2095', '2373', '2458', '2885', '2949', '3394', '3747', '3786', '3908', '4023', '4202']
2 21 ['82', '413', '539', '967', '1235', '1251', '1373', '1902', '1944', '2016', '2151', '2573', '2594', '2890', '2940', '2965', '3294', '3308', '3430', '3558', '4267']
3 17 ['346', '780', '881', '980', '1239', '1735', '2232', '2332', '2346', '2353', '2380', '2870', '3536', '3691', '3793', '4158', '4305']
4 16 ['173', '485', '534', '849', '1717', '2662', '2686', '2772', '3170', '3282', '3296', '3378', '3379', '3610', '3744', '4024']
5 14 ['294', '1101', '1433', '1438', '1458', '2013', '2314', '2461', '2536', '3056', '3400', '3553', '3617', '4229']
6 12 ['6', '538', '590', '654', '1139', '1974', '2226', '3066', '3457', '3612', '3634', '3810']
7 12 ['525', '759', '977', '1048', '1813', '2150', '2413', '2450', '2555', '2770', '2924', '3237']
8 10 ['8', '575', '984', '1026', '2292', '2542', '2939', '2956', '3644', '4211']
9 10 ['156', '1707', '1977', '2130', '3141', '3455', '3616', '3975', '4100', '4190']
10 10 ['140', '241', '414', '1632', '2061', '2133', '2707', '3265', '3522', '3917']
11 10 ['406', '846', '1324', '1453', '2394', '3166', '3167', '3730', '3902', '4141']
12 10 ['286', '1602', '2617', '2766', '2862', '2972', '3000', '3432', '3499', '4032']
13 10 ['298', '439', '649', '695', '2998', '3002', '3465', '3845', '4157', '4224']
14 9 ['261', '295', '327', '902', '2197', '2711', '2876', '3950', '4013']
15 9 ['929', '1109', '1125', '1547', '2170', '3188', '3323', '4221', '4278']
16 9 ['1033', '1104', '1343', '1546', '2409', '2544', '2548', '3137', '4101']
17 8 ['1', '718', '792', '797', '2553', '2833', '2888', '3735']
18 8 ['775', '2066', '2184', '2299', '2611', '3590', '3952', '4148']
19 8 ['558', '1134', '1364', '2034', '2656', '2807', '3816', '4298']
20 8 ['598', '1023', '1093', '1287', '1802', '1863', '2205', '3726']
21 8 ['411', '1569', '1858', '2432', '3257', '3286', '3577', '3737']
22 7 ['608', '1107', '1756', '1984', '2179', '3163', '3560']
23 7 ['689', '1306', '1906', '2345', '2690', '3529', '4220']
24 7 ['177', '1399', '2478', '3303', '3482', '3563', '4314']
25 7 ['36', '1037', '1256', '1447', '2359', '2375', '4243']
26 7 ['224', '973', '2678', '2842', '3332', '4001', '4152']
27 7 ['158', '868', '1719', '1738', '1819', '1911', '3915']
28 6 ['605', '1737', '2256', '2635', '4170', '4200']
29 6 ['111', '1137', '2712', '2859', '2897', '4142']
30 6 ['98', '919', '1348', '1582', '3706', '4163']
31 6 ['13', '206', '773', '3193', '3377', '4196']
32 6 ['2063', '2301', '2582', '3187', '3801', '4217']
33 6 ['1016', '1034', '2578', '2815', '3169', '3415']
34 6 ['1052', '1673', '2689', '2838', '3439', '3533']
35 6 ['49', '1012', '1954', '2683', '2722', '4222']
36 6 ['222', '373', '1147', '1803', '1936', '3421']
37 6 ['342', '567', '804', '1767', '2709', '3528']
38 5 ['19', '500', '1092', '1489', '4061']
39 5 ['23', '1369', '1889', '2680', '4119']
40 5 ['2021', '2188', '3203', '3772', '4162']
41 5 ['2273', '2459', '2699', '2740', '3453']
42 5 ['523', '1685', '2563', '3743', '3796']
43 5 ['339', '1439', '1792', '1903', '2455']
44 5 ['617', '777', '1335', '3894', '4288']
45 5 ['655', '1055', '1285', '1367', '3245']
46 5 ['1004', '2194', '2371', '2456', '3186']
47 5 ['665', '1657', '2181', '3109', '3767']
48 5 ['233', '452', '460', '1197', '2534']
49 5 ['195', '1550', '2604', '3949', '4042']
50 5 ['514', '2328', '2398', '3026', '3314']
51 5 ['437', '2882', '3156', '3376', '3723']
52 5 ['262', '2357', '2899', '2937', '4242']
53 4 ['1001', '1400', '2505', '2925']
54 4 ['751', '1892', '3100', '3933']
55 4 ['714', '1243', '3791', '3794']
56 4 ['101', '667', '727', '2060']
57 4 ['52', '3307', '3709', '3829']
58 4 ['20', '943', '2191', '2955']
59 4 ['35', '857', '3784', '4059']
60 4 ['1046', '1622', '1835', '2298']
61 4 ['478', '483', '3901', '3984']
62 4 ['187', '270', '2334', '3960']
63 4 ['1253', '1783', '2865', '4297']
64 4 ['394', '1483', '2391', '2418']
65 4 ['87', '281', '2745', '3357']
66 4 ['384', '1592', '1593', '3955']
67 4 ['1851', '2134', '3009', '3519']
68 4 ['1290', '3117', '3324', '3437']
69 4 ['129', '1202', '1247', '2799']
70 4 ['753', '1852', '2875', '3892']
71 4 ['368', '788', '1062', '1280']
72 4 ['1180', '2111', '2634', '3338']
73 4 ['1986', '3005', '3532', '4088']
74 4 ['311', '1771', '2736', '3487']
75 4 ['1868', '3848', '4017', '4084']
76 4 ['719', '2090', '3134', '3573']
77 4 ['365', '632', '3168', '3606']
78 4 ['464', '957', '2440', '2648']
79 4 ['1186', '1720', '3015', '4060']
80 4 ['1529', '2235', '2483', '3464']
81 3 ['660', '1140', '2311']
82 3 ['335', '2889', '3954']
83 3 ['2297', '2497', '3044']
84 3 ['634', '1228', '3236']
85 3 ['2177', '2661', '2786']
86 3 ['626', '1679', '2433']
87 3 ['1344', '2597', '3614']
88 3 ['844', '2121', '3886']
89 3 ['2231', '2407', '2568']
90 3 ['358', '1038', '4037']
91 3 ['1539', '2473', '4253']
92 3 ['918', '2502', '2886']
93 3 ['472', '1499', '1613']
94 3 ['2471', '3189', '4099']
95 3 ['1254', '3814', '4233']
96 3 ['1382', '3375', '4054']
97 3 ['1189', '2355', '3319']
98 3 ['1491', '2704', '2855']
99 3 ['527', '1660', '3068']
100 3 ['225', '3196', '3708']
101 3 ['33', '1700', '3751']
102 3 ['752', '2074', '3362']
103 3 ['2848', '3107', '3690']
104 3 ['71', '1009', '1494']
105 3 ['301', '2323', '3343']
106 3 ['951', '1733', '3413']
107 3 ['675', '1976', '2272']
108 3 ['25', '2101', '3293']
109 3 ['930', '1571', '3014']
110 3 ['2607', '3028', '4238']
111 3 ['362', '932', '3291']
112 3 ['1611', '2457', '3003']
113 3 ['40', '823', '2921']
114 3 ['1502', '2633', '2837']
115 3 ['650', '946', '1745']
116 3 ['44', '431', '3053']
117 3 ['34', '2612', '3964']
118 3 ['2062', '2324', '2482']
119 3 ['2775', '3587', '4186']
120 3 ['1548', '1764', '3428']
121 3 ['961', '1511', '3401']
122 3 ['1397', '1953', '4107']
123 3 ['1456', '1917', '2585']
124 3 ['1345', '3912', '4169']
125 3 ['2344', '3468', '4203']
126 3 ['1776', '2131', '3016']
127 3 ['1360', '2397', '2999']
128 3 ['321', '2277', '3898']
129 3 ['889', '2540', '3278']
130 3 ['2776', '3397', '4227']
131 3 ['2577', '4077', '4154']
132 3 ['216', '1199', '3233']
133 3 ['91', '1106', '2286']
134 3 ['630', '2557', '3181']
135 3 ['161', '952', '3113']
136 3 ['2000', '2532', '3559']
137 3 ['690', '1684', '2180']
138 3 ['423', '432', '2666']
139 3 ['1313', '2961', '3742']
140 3 ['1451', '2616', '4044']
141 3 ['1551', '1709', '3246']
142 3 ['1396', '1496', '3815']
143 3 ['528', '2259', '3038']
144 3 ['318', '997', '3914']
145 3 ['1080', '3942', '4296']
146 3 ['905', '2102', '3696']
147 3 ['1579', '1773', '3507']
148 3 ['312', '993', '2853']
149 3 ['882', '1618', '3200']
150 3 ['179', '1842', '3958']
151 3 ['1856', '2348', '3911']
152 3 ['922', '1971', '4150']
153 3 ['172', '1990', '3828']
154 3 ['255', '2590', '4115']
155 3 ['2698', '2974', '3934']
156 3 ['755', '1173', '1272']
157 2 ['2923', '3478']
158 2 ['2072', '2588']
159 2 ['3143', '3941']
160 2 ['604', '1416']
161 2 ['1064', '3417']
162 2 ['2901', '3345']
163 2 ['2472', '4199']
164 2 ['306', '4332']
165 2 ['438', '1909']
166 2 ['2399', '3370']
167 2 ['1271', '2055']
168 2 ['374', '2003']
169 2 ['807', '1967']
170 2 ['1449', '2443']
171 2 ['1375', '4005']
172 2 ['2768', '2839']
173 2 ['2749', '2789']
174 2 ['329', '4012']
175 2 ['1111', '4303']
176 2 ['2841', '3174']
177 2 ['2307', '4252']
178 2 ['3253', '3305']
179 2 ['1386', '2551']
180 2 ['2535', '3576']
181 2 ['3190', '4078']
182 2 ['2880', '2984']
183 2 ['2623', '3393']
184 2 ['152', '1896']
185 2 ['3477', '4261']
186 2 ['3937', '4093']
187 2 ['3887', '4127']
188 2 ['1979', '4260']
189 2 ['3090', '3753']
190 2 ['3496', '3773']
191 2 ['2023', '2031']
192 2 ['3419', '4259']
193 2 ['1865', '2733']
194 2 ['497', '818']
195 2 ['938', '4302']
196 2 ['3534', '4244']
197 2 ['982', '3116']
198 2 ['1286', '1533']
199 2 ['2679', '2981']
200 2 ['3318', '3412']
201 2 ['2528', '3570']
202 2 ['1572', '3503']
203 2 ['3715', '3807']
204 2 ['1712', '4215']
205 2 ['1384', '2110']
206 2 ['2347', '3347']
207 2 ['662', '1696']
208 2 ['2953', '3356']
209 2 ['761', '1263']
210 2 ['84', '876']
211 2 ['32', '2959']
212 2 ['449', '1295']
213 2 ['1758', '3077']
214 2 ['1084', '1267']
215 2 ['2376', '3297']
216 2 ['2576', '3668']
217 2 ['687', '1405']
218 2 ['855', '4231']
219 2 ['37', '2028']
220 2 ['2602', '3705']
221 2 ['625', '3383']
222 2 ['100', '1214']
223 2 ['3354', '3513']
224 2 ['1394', '4213']
225 2 ['555', '4275']
226 2 ['2702', '3819']
227 2 ['2381', '3301']
228 2 ['901', '4228']
229 2 ['2395', '3547']
230 2 ['1879', '3903']
231 2 ['1804', '3776']
232 2 ['1495', '4071']
233 2 ['2089', '4193']
234 2 ['1231', '1777']
235 2 ['41', '2639']
236 2 ['3479', '3516']
237 2 ['3075', '4139']
238 2 ['130', '249']
239 2 ['199', '2526']
240 2 ['1853', '2793']
241 2 ['45', '968']
242 2 ['248', '3550']
243 2 ['2143', '3142']
244 2 ['3125', '3389']
245 2 ['699', '728']
246 2 ['1015', '4249']
247 2 ['1220', '3687']
248 2 ['57', '2823']
249 2 ['1110', '2902']
250 2 ['2024', '2193']
251 2 ['805', '2004']
252 2 ['1488', '4041']
253 2 ['2425', '3320']
254 2 ['3210', '3603']
