0 9 ['1742', '3786', '3787', '3789', '3790', '3792', '3795', '3796', '3896']
1 9 ['3825', '3826', '3827', '3828', '3829', '3830', '3831', '3832', '3833']
2 8 ['303', '1657', '1917', '2411', '2556', '2672', '3068', '3412']
3 7 ['1683', '2673', '2720', '2828', '2829', '4109', '4121']
4 5 ['1684', '1685', '1686', '2674', '2675']
5 5 ['2244', '2299', '2303', '2304', '2315']
6 5 ['1922', '2952', '2957', '3245', '3252']
7 4 ['2243', '2300', '2301', '2316']
8 4 ['1448', '2027', '2028', '3770']
9 4 ['900', '2142', '2638', '2639']
10 4 ['1500', '1573', '2460', '2461']
11 4 ['2568', '2595', '3209', '3217']
12 4 ['2656', '2657', '2735', '2742']
13 3 ['2361', '2404', '2405']
14 3 ['3890', '3903', '3913']
15 3 ['4056', '4061', '4062']
16 3 ['1706', '1748', '3886']
17 3 ['3780', '3782', '3797']
18 3 ['2897', '2898', '2906']
19 3 ['2365', '2901', '2910']
20 3 ['2128', '2180', '2181']
21 3 ['1669', '1798', '3888']
22 3 ['2144', '2641', '2691']
23 3 ['3932', '3935', '3968']
24 3 ['1834', '3889', '3906']
25 3 ['2632', '2634', '2635']
26 3 ['1715', '3887', '4058']
27 3 ['2572', '2573', '2922']
28 3 ['92', '1721', '3808']
29 3 ['3226', '3326', '3329']
30 3 ['1888', '1889', '1890']
31 3 ['2781', '2879', '3163']
32 3 ['1282', '2739', '4099']
33 3 ['2867', '2944', '3192']
34 3 ['3844', '3851', '3856']
35 3 ['2464', '3852', '3857']
36 3 ['2474', '2475', '3259']
37 3 ['2155', '2158', '2229']
38 3 ['2236', '2955', '3251']
39 3 ['2486', '2501', '3324']
40 3 ['2235', '3272', '3286']
41 3 ['1761', '1763', '3043']
42 3 ['195', '272', '382']
43 3 ['2893', '2894', '2942']
44 2 ['2237', '3271']
45 2 ['2242', '2626']
46 2 ['2552', '2553']
47 2 ['1780', '3328']
48 2 ['1503', '3416']
49 2 ['3078', '3090']
50 2 ['1639', '3882']
51 2 ['2362', '2406']
52 2 ['3193', '3195']
53 2 ['1808', '1809']
54 2 ['2853', '3894']
55 2 ['2093', '2094']
56 2 ['2578', '3960']
57 2 ['3810', '3848']
58 2 ['2943', '3191']
59 2 ['54', '3905']
60 2 ['1713', '4081']
61 2 ['3977', '3985']
62 2 ['2815', '2816']
63 2 ['2140', '2204']
64 2 ['1147', '3647']
65 2 ['2946', '3301']
66 2 ['1784', '1806']
67 2 ['2515', '2516']
68 2 ['2281', '2360']
69 2 ['1821', '4093']
70 2 ['2000', '2162']
71 2 ['866', '2335']
72 2 ['2841', '2842']
73 2 ['59', '2729']
74 2 ['1872', '2728']
75 2 ['4010', '4033']
76 2 ['2006', '2007']
77 2 ['3885', '4117']
78 2 ['3785', '3788']
79 2 ['1295', '1296']
80 2 ['3794', '3798']
81 2 ['4055', '4060']
82 2 ['2903', '2907']
83 2 ['1962', '3218']
84 2 ['2938', '3325']
85 2 ['3083', '3322']
86 2 ['1659', '3312']
87 2 ['781', '1566']
88 2 ['2368', '2904']
89 2 ['838', '839']
90 2 ['1242', '2216']
91 2 ['1538', '3088']
92 2 ['2141', '2561']
93 2 ['2095', '2096']
94 2 ['2173', '2186']
95 2 ['1602', '3096']
96 2 ['60', '2791']
97 2 ['1781', '3900']
98 2 ['1744', '4038']
99 2 ['1736', '3942']
100 2 ['2652', '2668']
101 2 ['1902', '3235']
102 2 ['2353', '2355']
103 2 ['2948', '3327']
104 2 ['3784', '3793']
105 2 ['1474', '3279']
106 2 ['2354', '2356']
107 2 ['2379', '2380']
108 2 ['2659', '2660']
109 2 ['2851', '3823']
110 2 ['1144', '2786']
111 2 ['2256', '3047']
