0 10 ['935', '1654', '2629', '2630', '2673', '2803', '2804', '3644', '4078', '4092']
1 9 ['3803', '3804', '3805', '3806', '3807', '3808', '3809', '3810', '3811']
2 8 ['1707', '3764', '3765', '3767', '3770', '3773', '3774', '3872']
3 6 ['1656', '1657', '1658', '1662', '2631', '2632']
4 5 ['1042', '1550', '1643', '1648', '3276']
5 5 ['624', '1849', '2370', '2506', '2627']
6 5 ['2197', '2254', '2258', '2259', '2271']
7 5 ['1852', '2929', '2934', '3208', '3214']
8 4 ['2958', '3098', '3282', '3919']
9 4 ['2196', '2255', '2256', '2272']
10 4 ['2612', '2613', '2691', '2698']
11 3 ['2581', '2583', '2584']
12 3 ['89', '782', '1572']
13 3 ['2073', '2130', '2131']
14 3 ['2088', '2590', '2643']
15 3 ['2027', '2028', '2029']
16 3 ['2187', '3236', '3253']
17 3 ['4033', '4040', '4041']
18 3 ['2851', '2921', '3155']
19 3 ['2318', '2365', '2366']
20 3 ['1676', '1713', '3861']
21 3 ['3863', '3877', '3884']
22 3 ['2041', '2042', '2043']
23 3 ['692', '780', '3374']
24 3 ['3331', '3762', '3771']
25 3 ['243', '252', '352']
26 3 ['2103', '2107', '2182']
27 3 ['2086', '2587', '2588']
28 3 ['2882', '2883', '2885']
29 3 ['3758', '3760', '3775']
30 3 ['1468', '2771', '3132']
31 3 ['2302', '4029', '4030']
32 3 ['1114', '2863', '3127']
33 3 ['1562', '2211', '3013']
34 3 ['1724', '1726', '3009']
35 3 ['2596', '2597', '2830']
36 3 ['3903', '3908', '3942']
37 3 ['1957', '1958', '3754']
38 3 ['2188', '2932', '3213']
39 3 ['2880', '2881', '2919']
40 3 ['3824', '3831', '3835']
41 3 ['2428', '2429', '3221']
42 3 ['2521', '2522', '2899']
43 2 ['1782', '3878']
44 2 ['1771', '4064']
45 2 ['1936', '2110']
46 2 ['1761', '1762']
47 2 ['2310', '2312']
48 2 ['1734', '2465']
49 2 ['2311', '2313']
50 2 ['1209', '1220']
51 2 ['1942', '1943']
52 2 ['2327', '2328']
53 2 ['2459', '2460']
54 2 ['2536', '2544']
55 2 ['1741', '3876']
56 2 ['3156', '3157']
57 2 ['2915', '3293']
58 2 ['3047', '3290']
59 2 ['3187', '3296']
60 2 ['2189', '3235']
61 2 ['612', '2354']
62 2 ['2194', '2572']
63 2 ['1930', '1948']
64 2 ['1744', '1759']
65 2 ['1834', '3196']
66 2 ['1686', '3788']
67 2 ['3345', '3874']
68 2 ['2367', '2988']
69 2 ['3860', '4088']
70 2 ['2773', '3131']
71 2 ['2920', '3154']
72 2 ['2813', '2814']
73 2 ['418', '419']
74 2 ['1975', '1976']
75 2 ['264', '3514']
76 2 ['1765', '1768']
77 2 ['2526', '3930']
78 2 ['2540', '2541']
79 2 ['3986', '3988']
80 2 ['4012', '4013']
81 2 ['1766', '1769']
82 2 ['2554', '2556']
83 2 ['1767', '1770']
84 2 ['411', '2200']
85 2 ['2923', '3267']
86 2 ['1709', '3549']
87 2 ['1740', '3295']
88 2 ['2695', '4067']
89 2 ['1659', '3645']
90 2 ['2624', '2625']
91 2 ['2816', '2820']
92 2 ['1547', '2167']
93 2 ['1898', '3178']
94 2 ['3231', '3288']
95 2 ['1758', '3862']
96 2 ['2278', '2287']
97 2 ['613', '2357']
98 2 ['2667', '2738']
99 2 ['1563', '2062']
100 2 ['3541', '3551']
101 2 ['1528', '1575']
102 2 ['2884', '2886']
103 2 ['2195', '2257']
104 2 ['2832', '3800']
105 2 ['3746', '3747']
106 2 ['2474', '2475']
107 2 ['925', '1935']
108 2 ['2914', '3225']
109 2 ['2937', '3180']
110 2 ['1065', '2416']
111 2 ['71', '1814']
112 2 ['1853', '1864']
113 2 ['3042', '3054']
114 2 ['3943', '3955']
115 2 ['2039', '2040']
116 2 ['2369', '2998']
117 2 ['1600', '2874']
118 2 ['3763', '3766']
119 2 ['2375', '2467']
120 2 ['1998', '2032']
121 2 ['3772', '3776']
122 2 ['2575', '2589']
123 2 ['2442', '4062']
124 2 ['2477', '2478']
125 2 ['1937', '1938']
126 2 ['3376', '3377']
