0 22 ['76', '514', '543', '677', '683', '707', '734', '744', '808', '868', '921', '973', '977', '1014', '1015', '1056', '1058', '1059', '1078', '1079', '1097', '1106']
1 19 ['679', '712', '727', '835', '850', '891', '896', '936', '965', '976', '1001', '1003', '1013', '1023', '1041', '1055', '1107', '1109', '1112']
2 12 ['451', '701', '752', '907', '950', '960', '984', '1042', '1045', '1047', '1089', '1105']
3 11 ['397', '410', '576', '825', '859', '943', '981', '1031', '1062', '1094', '1102']
4 8 ['517', '732', '792', '882', '911', '930', '940', '1070']
5 7 ['506', '711', '785', '957', '971', '996', '1068']
6 5 ['3', '446', '718', '768', '862']
7 5 ['10', '450', '857', '866', '1020']
8 5 ['852', '867', '893', '927', '1043']
9 4 ['86', '607', '959', '1082']
10 4 ['730', '790', '998', '1026']
11 3 ['945', '961', '1057']
12 3 ['551', '815', '832']
13 3 ['890', '941', '974']
14 2 ['106', '1098']
15 2 ['218', '445']
16 2 ['68', '975']
17 2 ['611', '777']
18 2 ['95', '473']
19 2 ['316', '716']
20 2 ['662', '1088']
21 2 ['132', '729']
22 2 ['197', '686']
23 2 ['252', '1069']
24 2 ['222', '733']
25 2 ['409', '675']
26 2 ['366', '1065']
27 2 ['498', '499']
28 2 ['668', '806']
29 2 ['690', '722']
30 2 ['614', '696']
31 2 ['672', '1022']
32 2 ['764', '970']
33 2 ['706', '931']
