0 11 ['5', '42', '83', '92', '95', '107', '126', '154', '206', '273', '336']
1 10 ['50', '160', '180', '188', '234', '290', '306', '329', '338', '347']
2 8 ['47', '49', '72', '101', '162', '179', '208', '287']
3 7 ['11', '28', '43', '67', '122', '223', '235']
4 6 ['36', '64', '84', '120', '125', '264']
5 5 ['23', '189', '202', '262', '297']
6 5 ['165', '277', '289', '311', '349']
7 4 ['40', '48', '110', '220']
8 4 ['60', '113', '242', '257']
9 4 ['33', '196', '278', '333']
10 3 ['80', '90', '230']
11 3 ['78', '293', '298']
12 3 ['159', '210', '256']
13 3 ['142', '199', '226']
14 2 ['131', '149']
15 2 ['114', '337']
16 2 ['75', '77']
17 2 ['14', '344']
18 2 ['231', '258']
19 2 ['20', '304']
20 2 ['317', '325']
21 2 ['19', '91']
22 2 ['51', '322']
23 2 ['104', '193']
24 2 ['291', '302']
25 2 ['164', '326']
26 2 ['21', '177']
27 2 ['140', '332']
28 2 ['16', '327']
29 2 ['25', '71']
30 2 ['29', '141']
31 2 ['81', '139']
32 2 ['89', '183']
33 2 ['27', '239']
34 2 ['31', '97']
35 2 ['260', '280']
36 2 ['93', '94']
37 2 ['68', '238']
