0 11 ['5', '42', '73', '84', '92', '94', '103', '123', '150', '203', '274']
1 10 ['50', '156', '177', '186', '233', '292', '307', '333', '340', '349']
2 8 ['2', '21', '161', '275', '278', '291', '312', '351']
3 8 ['48', '49', '71', '98', '158', '175', '206', '288']
4 5 ['27', '43', '67', '222', '234']
5 4 ['33', '194', '279', '336']
6 4 ['40', '106', '219', '236']
7 4 ['23', '187', '200', '263']
8 3 ['81', '90', '230']
9 3 ['26', '240', '256']
10 3 ['61', '108', '258']
11 3 ['35', '46', '226']
12 3 ['155', '208', '257']
13 3 ['116', '122', '265']
14 3 ['139', '197', '227']
15 3 ['247', '261', '282']
16 2 ['109', '339']
17 2 ['75', '77']
18 2 ['231', '259']
19 2 ['51', '324']
20 2 ['18', '91']
21 2 ['101', '192']
22 2 ['13', '331']
23 2 ['160', '330']
24 2 ['20', '173']
25 2 ['295', '299']
26 2 ['293', '302']
27 2 ['19', '304']
28 2 ['89', '180']
29 2 ['133', '309']
30 2 ['319', '328']
31 2 ['70', '242']
32 2 ['37', '337']
33 2 ['193', '271']
34 2 ['281', '320']
