0 11 ['5', '42', '80', '88', '91', '106', '127', '152', '199', '259', '325']
1 10 ['50', '158', '175', '182', '227', '277', '294', '318', '326', '334']
2 9 ['2', '112', '131', '162', '263', '276', '282', '299', '336']
3 9 ['47', '49', '69', '97', '99', '159', '174', '201', '319']
4 5 ['11', '28', '43', '64', '216']
5 5 ['22', '183', '195', '249', '284']
6 4 ['26', '78', '86', '223']
7 4 ['40', '48', '109', '213']
8 4 ['58', '114', '233', '245']
9 4 ['34', '189', '264', '322']
10 3 ['74', '279', '285']
11 3 ['36', '46', '219']
12 3 ['157', '203', '244']
13 3 ['143', '192', '220']
14 3 ['121', '126', '251']
15 2 ['1', '23']
16 2 ['14', '331']
17 2 ['224', '246']
18 2 ['51', '310']
19 2 ['19', '291']
20 2 ['161', '315']
21 2 ['278', '289']
22 2 ['15', '316']
23 2 ['18', '87']
24 2 ['70', '110']
25 2 ['102', '186']
26 2 ['71', '73']
27 2 ['305', '314']
28 2 ['29', '142']
29 2 ['141', '321']
30 2 ['79', '140']
31 2 ['85', '178']
32 2 ['25', '68']
33 2 ['32', '95']
34 2 ['35', '274']
35 2 ['137', '296']
36 2 ['65', '229']
37 2 ['89', '90']
38 2 ['247', '267']
39 2 ['266', '306']
40 2 ['93', '328']
