0 11 ['6', '46', '79', '90', '96', '99', '108', '126', '201', '269', '332']
1 10 ['55', '155', '174', '182', '231', '286', '304', '327', '334', '342']
2 9 ['52', '54', '77', '104', '157', '172', '203', '282', '329']
3 8 ['2', '26', '160', '270', '272', '285', '309', '344']
4 6 ['13', '32', '47', '71', '219', '232']
5 5 ['28', '183', '197', '259', '293']
6 4 ['45', '53', '110', '216']
7 3 ['87', '94', '227']
8 3 ['83', '289', '294']
9 3 ['31', '237', '254']
10 3 ['40', '50', '223']
11 3 ['38', '191', '273']
12 3 ['41', '121', '260']
13 3 ['244', '257', '276']
14 3 ['141', '194', '224']
15 2 ['113', '333']
16 2 ['16', '339']
17 2 ['18', '325']
18 2 ['33', '140']
19 2 ['23', '95']
20 2 ['315', '323']
21 2 ['24', '301']
22 2 ['287', '299']
23 2 ['107', '188']
24 2 ['159', '324']
25 2 ['88', '139']
26 2 ['56', '319']
27 2 ['25', '170']
28 2 ['93', '177']
29 2 ['66', '112']
30 2 ['35', '100']
31 2 ['30', '76']
32 2 ['190', '266']
33 2 ['43', '331']
34 2 ['135', '306']
35 2 ['205', '255']
36 2 ['75', '239']
37 2 ['72', '236']
38 2 ['97', '98']
