0 4 ['593', '1668', '1742', '1994']
1 4 ['839', '1099', '1711', '1795']
2 4 ['463', '911', '1352', '1930']
3 4 ['166', '261', '426', '1957']
4 3 ['1187', '1682', '1969']
5 3 ['318', '1122', '1490']
6 3 ['464', '784', '1798']
7 3 ['547', '559', '1382']
8 2 ['755', '1374']
9 2 ['757', '873']
10 2 ['385', '573']
11 2 ['756', '883']
12 2 ['78', '686']
13 2 ['409', '1220']
14 2 ['1108', '1393']
15 2 ['1363', '1570']
16 2 ['63', '352']
17 2 ['510', '1242']
18 2 ['326', '497']
19 2 ['1035', '1739']
20 2 ['687', '1620']
