0 8 ['269', '270', '271', '282', '283', '284', '289', '290']
1 5 ['463', '519', '520', '521', '522']
2 4 ['374', '376', '378', '380']
3 4 ['375', '377', '379', '381']
4 3 ['525', '526', '527']
5 3 ['76', '77', '78']
6 3 ['73', '74', '75']
7 3 ['669', '670', '671']
8 3 ['353', '354', '366']
9 3 ['139', '140', '141']
10 3 ['316', '318', '319']
11 3 ['448', '453', '485']
12 3 ['268', '281', '288']
13 2 ['18', '47']
14 2 ['17', '46']
15 2 ['461', '462']
16 2 ['438', '477']
17 2 ['115', '122']
18 2 ['443', '478']
19 2 ['439', '480']
20 2 ['384', '386']
21 2 ['365', '367']
22 2 ['348', '387']
23 2 ['424', '425']
24 2 ['124', '125']
25 2 ['165', '193']
26 2 ['171', '172']
27 2 ['349', '388']
28 2 ['320', '322']
29 2 ['143', '149']
30 2 ['383', '385']
31 2 ['347', '356']
32 2 ['147', '152']
33 2 ['144', '146']
34 2 ['555', '556']
35 2 ['351', '382']
36 2 ['685', '686']
37 2 ['350', '370']
