0 7 ['158', '868', '1719', '1738', '1819', '1911', '3915']
1 4 ['137', '1636', '2095', '2373']
2 4 ['804', '1767', '2709', '3528']
3 3 ['538', '2226', '3612']
4 3 ['575', '1026', '2939']
5 3 ['1122', '1807', '4188']
6 3 ['967', '2965', '3430']
7 3 ['1186', '1720', '4060']
8 3 ['1858', '2432', '3286']
9 2 ['3193', '3377']
10 2 ['2197', '2876']
11 2 ['792', '2888']
12 2 ['1348', '1582']
13 2 ['943', '2191']
14 2 ['2699', '3453']
15 2 ['40', '823']
16 2 ['1109', '1125']
17 2 ['294', '1433']
18 2 ['2772', '3744']
19 2 ['321', '3898']
20 2 ['1239', '2353']
21 2 ['3524', '3648']
22 2 ['1771', '2736']
23 2 ['298', '4157']
24 2 ['2150', '2450']
25 2 ['2555', '2770']
26 2 ['3845', '4224']
27 2 ['2972', '3499']
28 2 ['1529', '2235']
29 2 ['365', '3606']
