0 12 ['451', '701', '752', '907', '950', '960', '984', '1042', '1045', '1047', '1089', '1105']
1 11 ['679', '891', '896', '1003', '1013', '1023', '1041', '1055', '1107', '1109', '1112']
2 7 ['712', '727', '835', '850', '936', '965', '976']
3 6 ['76', '514', '973', '977', '1014', '1079']
4 4 ['707', '868', '1015', '1059']
5 4 ['683', '1058', '1078', '1097']
6 3 ['734', '808', '921']
7 3 ['397', '1062', '1102']
8 2 ['10', '1020']
9 2 ['768', '862']
10 2 ['543', '744']
11 2 ['857', '866']
12 2 ['607', '959']
13 2 ['366', '1065']
14 2 ['730', '790']
15 2 ['498', '499']
16 2 ['825', '859']
17 2 ['792', '940']
18 2 ['732', '930']
19 2 ['893', '927']
